"filename", "language", "JavaScript", "JavaScript JSX", "CSS", "Markdown", "JSON", "HTML", "XML", "comment", "blank", "total"
"c:\Users\lenovo\Downloads\pomodoro-project\Mental-care\src\pages\Home\components\Hero\Hero.jsx", "JavaScript JSX", 0, 40, 0, 0, 0, 0, 0, 0, 2, 42
"c:\Users\lenovo\Downloads\pomodoro-project\Mental-care\src\pages\Home\components\HowWorks\HowWorks.jsx", "JavaScript JSX", 0, 34, 0, 0, 0, 0, 0, 0, 7, 41
"c:\Users\lenovo\Downloads\pomodoro-project\Mental-care\src\pages\Home\components\QuizShow\QuizShow.jsx", "JavaScript JSX", 0, 31, 0, 0, 0, 0, 0, 1, 4, 36
"c:\Users\lenovo\Downloads\pomodoro-project\Mental-care\src\pages\Home\components\Reviews\Reviews.jsx", "JavaScript JSX", 0, 147, 0, 0, 0, 0, 0, 0, 12, 159
"c:\Users\lenovo\Downloads\pomodoro-project\Mental-care\src\pages\Home\components\Reviews\Slide.jsx", "JavaScript JSX", 0, 21, 0, 0, 0, 0, 0, 0, 2, 23
"c:\Users\lenovo\Downloads\pomodoro-project\Mental-care\src\pages\Home\components\index.js", "JavaScript", 8, 0, 0, 0, 0, 0, 0, 0, 5, 13
"c:\Users\lenovo\Downloads\pomodoro-project\Mental-care\src\pages\Login\Login.jsx", "JavaScript JSX", 0, 101, 0, 0, 0, 0, 0, 4, 5, 110
"c:\Users\lenovo\Downloads\pomodoro-project\Mental-care\src\pages\NotFound\PageNotFound.jsx", "JavaScript JSX", 0, 21, 0, 0, 0, 0, 0, 0, 3, 24
"c:\Users\lenovo\Downloads\pomodoro-project\Mental-care\src\pages\PrivacyPolicy\PrivacyPolicy.jsx", "JavaScript JSX", 0, 32, 0, 0, 0, 0, 0, 0, 4, 36
"c:\Users\lenovo\Downloads\pomodoro-project\Mental-care\src\pages\ProfileTherapists\ProfileTherapists.jsx", "JavaScript JSX", 0, 111, 0, 0, 0, 0, 0, 9, 12, 132
"c:\Users\lenovo\Downloads\pomodoro-project\Mental-care\src\pages\ProfileTherapists\components\CardProfileDetials.jsx", "JavaScript JSX", 0, 18, 0, 0, 0, 0, 0, 0, 2, 20
"c:\Users\lenovo\Downloads\pomodoro-project\Mental-care\src\pages\Quizes\Quizes.jsx", "JavaScript JSX", 0, 65, 0, 0, 0, 0, 0, 48, 13, 126
"c:\Users\lenovo\Downloads\pomodoro-project\Mental-care\src\pages\Quizes\QuizesId\LeftSide.jsx", "JavaScript JSX", 0, 33, 0, 0, 0, 0, 0, 0, 3, 36
"c:\Users\lenovo\Downloads\pomodoro-project\Mental-care\src\pages\Quizes\QuizesId\Questions.jsx", "JavaScript JSX", 0, 57, 0, 0, 0, 0, 0, 0, 7, 64
"c:\Users\lenovo\Downloads\pomodoro-project\Mental-care\src\pages\Quizes\QuizesId\QuizesId.jsx", "JavaScript JSX", 0, 450, 0, 0, 0, 0, 0, 55, 29, 534
"c:\Users\lenovo\Downloads\pomodoro-project\Mental-care\src\pages\Quizes\QuizesId\ScoreSummary.jsx", "JavaScript JSX", 0, 46, 0, 0, 0, 0, 0, 2, 6, 54
"c:\Users\lenovo\Downloads\pomodoro-project\Mental-care\src\pages\Quizes\Tables.jsx", "JavaScript JSX", 0, 267, 0, 0, 0, 0, 0, 12, 12, 291
"c:\Users\lenovo\Downloads\pomodoro-project\Mental-care\src\pages\Quizes\map-context.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 0, 7, 22
"c:\Users\lenovo\Downloads\pomodoro-project\Mental-care\src\pages\Quizes\shared\Button.js", "JavaScript", 30, 0, 0, 0, 0, 0, 0, 0, 2, 32
"c:\Users\lenovo\Downloads\pomodoro-project\Mental-care\src\pages\Quizes\shared\Icon.js", "JavaScript", 48, 0, 0, 0, 0, 0, 0, 0, 3, 51
"c:\Users\lenovo\Downloads\pomodoro-project\Mental-care\src\pages\Quizes\shared\Utils.js", "JavaScript", 3, 0, 0, 0, 0, 0, 0, 0, 0, 3
"c:\Users\lenovo\Downloads\pomodoro-project\Mental-care\src\pages\Quizes\styles.css", "CSS", 0, 0, 12, 0, 0, 0, 0, 0, 4, 16
"c:\Users\lenovo\Downloads\pomodoro-project\Mental-care\src\pages\Register\Register.jsx", "JavaScript JSX", 0, 55, 0, 0, 0, 0, 0, 2, 6, 63
"c:\Users\lenovo\Downloads\pomodoro-project\Mental-care\src\pages\Register\RegisterTherapist.jsx", "JavaScript JSX", 0, 129, 0, 0, 0, 0, 0, 5, 10, 144
"c:\Users\lenovo\Downloads\pomodoro-project\Mental-care\src\pages\Register\RegisterUser.jsx", "JavaScript JSX", 0, 104, 0, 0, 0, 0, 0, 4, 11, 119
"c:\Users\lenovo\Downloads\pomodoro-project\Mental-care\src\pages\Therapists\Therapists.jsx", "JavaScript JSX", 0, 101, 0, 0, 0, 0, 0, 5, 6, 112
"c:\Users\lenovo\Downloads\pomodoro-project\Mental-care\src\pages\Therapists\components\CardTherapist.jsx", "JavaScript JSX", 0, 109, 0, 0, 0, 0, 0, 0, 5, 114
"c:\Users\lenovo\Downloads\pomodoro-project\Mental-care\src\pages\Therapists\components\EmptyList\EmptyList.jsx", "JavaScript JSX", 0, 11, 0, 0, 0, 0, 0, 0, 3, 14
"c:\Users\lenovo\Downloads\pomodoro-project\Mental-care\src\pages\Therapists\components\Filters.jsx", "JavaScript JSX", 0, 153, 0, 0, 0, 0, 0, 0, 3, 156
"c:\Users\lenovo\Downloads\pomodoro-project\Mental-care\src\pages\Therapists\components\HeaderSearch.jsx", "JavaScript JSX", 0, 22, 0, 0, 0, 0, 0, 0, 1, 23
"c:\Users\lenovo\Downloads\pomodoro-project\Mental-care\src\pages\Therapists\components\TherapistList.jsx", "JavaScript JSX", 0, 12, 0, 0, 0, 0, 0, 0, 3, 15
"c:\Users\lenovo\Downloads\pomodoro-project\Mental-care\src\pages\Therapists\style.css", "CSS", 0, 0, 15, 0, 0, 0, 0, 0, 0, 15
"c:\Users\lenovo\Downloads\pomodoro-project\Mental-care\src\pages\Verification\Verification.jsx", "JavaScript JSX", 0, 40, 0, 0, 0, 0, 0, 0, 4, 44
"c:\Users\lenovo\Downloads\pomodoro-project\Mental-care\src\styles\index.css", "CSS", 0, 0, 448, 0, 0, 0, 0, 11, 38, 497
"c:\Users\lenovo\Downloads\pomodoro-project\Mental-care\src\utils\PublicRoute.jsx", "JavaScript JSX", 0, 11, 0, 0, 0, 0, 0, 0, 4, 15
"c:\Users\lenovo\Downloads\pomodoro-project\Mental-care\tailwind.config.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 1, 1, 15
"Total", "-", 1786, 3310, 600, 39, 25843, 30, 28, 417, 497, 32550
